vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pu_location_id,do_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,is_cross_borough,pickup_hour,pickup_day_of_week,time_of_day
2,2019-01-02 19:44:21,2019-01-02 19:54:26,5,1.55,1,N,186,246,2,8.5,1.0,0.5,0.0,0.0,0.3,0.0,10.3,10.083333333333334,9.223140495867769,5.483870967741935,,False,19,2,evening
2,2019-01-02 20:38:05,2019-01-02 20:42:58,1,0.85,1,N,74,75,2,5.0,0.5,0.5,0.0,0.0,0.3,0.0,6.3,4.883333333333334,10.443686006825937,5.882352941176471,,False,20,2,evening
2,2019-01-02 21:24:00,2019-01-03 21:14:52,2,0.71,1,N,230,162,1,6.0,0.5,0.5,1.46,0.0,0.3,0.0,8.76,1430.8666666666666,0.029772166053207847,8.450704225352114,0.24333333333333332,False,21,2,evening
1,2019-01-02 21:25:05,2019-01-02 21:35:11,1,0.7,1,N,230,186,1,7.5,0.5,0.5,2.2,0.0,0.3,0.0,11.0,10.1,4.158415841584159,10.714285714285715,0.29333333333333333,False,21,2,evening
2,2019-01-02 22:33:15,2019-01-02 22:38:14,5,0.83,1,N,114,79,1,5.0,0.5,0.5,1.26,0.0,0.3,0.0,7.56,4.983333333333333,9.993311036789295,6.024096385542169,0.252,False,22,2,night
2,2019-01-02 23:02:32,2019-01-02 23:21:05,1,7.25,1,N,263,127,1,23.5,0.5,0.5,3.2,0.0,0.3,0.0,28.0,18.55,23.450134770889484,3.2413793103448274,0.13617021276595745,False,23,2,night
2,2019-01-03 00:52:12,2019-01-03 01:11:39,1,5.82,1,N,233,49,1,19.5,0.5,0.5,3.2,0.0,0.3,0.0,24.0,19.45,17.953727506426738,3.3505154639175254,0.1641025641025641,True,0,3,night
2,2019-01-03 04:24:31,2019-01-03 04:27:29,1,0.75,1,N,164,170,2,4.5,0.5,0.5,0.0,0.0,0.3,0.0,5.8,2.966666666666667,15.168539325842698,6.0,,False,4,3,night
2,2019-01-03 06:35:48,2019-01-03 06:42:53,1,1.84,1,N,142,236,1,8.0,0.0,0.5,2.64,0.0,0.3,0.0,11.44,7.083333333333333,15.585882352941178,4.3478260869565215,0.33,False,6,3,morning
2,2019-01-03 07:07:12,2019-01-03 07:25:34,2,4.51,1,N,52,249,1,16.5,0.0,0.5,4.32,0.0,0.3,0.0,21.62,18.366666666666667,14.733212341197822,3.658536585365854,0.26181818181818184,True,7,3,morning
1,2019-01-03 07:36:44,2019-01-03 07:54:00,1,3.1,1,N,186,261,1,14.0,0.0,0.5,4.4,0.0,0.3,0.0,19.2,17.266666666666666,10.772200772200774,4.516129032258064,0.31428571428571433,False,7,3,morning
2,2019-01-03 07:51:19,2019-01-03 07:56:44,1,0.83,1,N,246,234,1,5.5,0.0,0.5,2.0,0.0,0.3,0.0,8.3,5.416666666666667,9.193846153846154,6.626506024096386,0.36363636363636365,False,7,3,morning
2,2019-01-03 08:06:10,2019-01-03 08:47:22,1,13.15,1,N,138,161,1,40.0,0.0,0.5,7.0,5.76,0.3,0.0,53.56,41.2,19.150485436893202,3.041825095057034,0.175,True,8,3,morning
2,2019-01-03 08:27:12,2019-01-03 08:31:57,1,0.65,1,N,141,141,2,5.0,0.0,0.5,0.0,0.0,0.3,0.0,5.8,4.75,8.210526315789474,7.692307692307692,,False,8,3,morning
2,2019-01-03 08:34:37,2019-01-03 08:48:13,2,2.19,1,N,262,163,1,11.0,0.0,0.5,1.77,0.0,0.3,0.0,13.57,13.6,9.661764705882353,5.0228310502283104,0.16090909090909092,False,8,3,morning
2,2019-01-03 09:05:53,2019-01-03 09:11:21,2,0.7,1,N,162,163,1,5.5,0.0,0.5,0.7,0.0,0.3,0.0,7.0,5.466666666666667,7.6829268292682915,7.857142857142858,0.12727272727272726,False,9,3,morning
2,2019-01-03 09:24:59,2019-01-03 09:41:28,1,2.01,1,N,236,162,1,11.5,0.0,0.5,2.21,0.0,0.3,0.0,14.51,16.483333333333334,7.316481294236601,5.721393034825871,0.19217391304347825,False,9,3,morning
1,2019-01-03 09:54:29,2019-01-03 09:56:33,2,0.4,1,N,236,75,2,3.5,0.0,0.5,0.0,0.0,0.3,0.0,4.3,2.066666666666667,11.61290322580645,8.75,,False,9,3,morning
2,2019-01-03 10:07:35,2019-01-03 10:19:15,2,1.36,1,N,186,161,1,9.0,0.0,0.5,2.45,0.0,0.3,0.0,12.25,11.666666666666666,6.994285714285715,6.617647058823529,0.27222222222222225,False,10,3,morning
1,2019-01-03 10:37:19,2019-01-03 10:46:38,1,1.3,1,N,237,162,2,8.0,0.0,0.5,0.0,0.0,0.3,0.0,8.8,9.316666666666666,8.372093023255815,6.153846153846153,,False,10,3,morning
1,2019-01-03 10:44:37,2019-01-03 10:51:33,1,1.4,1,N,7,223,1,7.5,0.0,0.5,1.0,0.0,0.3,0.0,9.3,6.933333333333334,12.115384615384613,5.357142857142858,0.13333333333333333,False,10,3,morning
2,2019-01-03 11:25:56,2019-01-03 11:40:31,1,1.48,1,N,246,164,1,10.5,0.0,0.5,2.26,0.0,0.3,0.0,13.56,14.583333333333334,6.089142857142857,7.094594594594595,0.21523809523809523,False,11,3,morning
1,2019-01-03 11:34:59,2019-01-03 11:46:01,1,0.8,1,N,161,264,2,8.0,0.0,0.5,0.0,0.0,0.3,0.0,8.8,11.033333333333333,4.350453172205438,10.0,,True,11,3,morning
1,2019-01-03 12:17:45,2019-01-03 12:34:07,1,2.4,1,N,142,236,2,12.5,0.0,0.5,0.0,0.0,0.3,0.0,13.3,16.366666666666667,8.798370672097759,5.208333333333334,,False,12,3,afternoon
1,2019-01-03 12:47:45,2019-01-03 12:51:03,1,0.5,1,N,164,90,1,4.5,0.0,0.5,1.05,0.0,0.3,0.0,6.35,3.3,9.090909090909092,9.0,0.23333333333333334,False,12,3,afternoon
2,2019-01-03 13:02:24,2019-01-03 13:16:36,1,2.12,1,N,68,170,1,11.0,0.0,0.5,2.36,0.0,0.3,0.0,14.16,14.2,8.95774647887324,5.188679245283018,0.21454545454545454,False,13,3,afternoon
2,2019-01-03 13:05:30,2019-01-03 13:25:37,3,3.1,1,N,125,230,1,15.0,0.0,0.5,3.95,0.0,0.3,0.0,19.75,20.116666666666667,9.24606462303231,4.838709677419355,0.26333333333333336,False,13,3,afternoon
2,2019-01-03 14:10:35,2019-01-03 14:13:36,2,0.37,1,N,233,170,1,4.0,0.0,0.5,0.96,0.0,0.3,0.0,5.76,3.0166666666666666,7.359116022099448,10.81081081081081,0.24,False,14,3,afternoon
2,2019-01-03 14:48:37,2019-01-03 14:59:16,1,1.69,1,N,166,239,1,9.0,0.0,0.5,1.47,0.0,0.3,0.0,11.27,10.65,9.521126760563378,5.325443786982249,0.16333333333333333,False,14,3,afternoon
1,2019-01-03 15:44:37,2019-01-03 15:54:23,1,0.9,1,N,162,170,1,7.5,1.0,0.5,1.0,0.0,0.3,0.0,10.3,9.766666666666667,5.5290102389078495,8.333333333333334,0.13333333333333333,False,15,3,afternoon
1,2019-01-03 16:14:09,2019-01-03 16:18:04,1,0.5,1,N,161,237,1,4.5,1.0,0.5,1.25,0.0,0.3,0.0,7.55,3.9166666666666665,7.659574468085106,9.0,0.2777777777777778,False,16,3,afternoon
1,2019-01-03 16:31:15,2019-01-03 16:35:34,1,1.0,1,N,114,234,2,5.5,1.0,0.5,0.0,0.0,0.3,0.0,7.3,4.316666666666666,13.899613899613902,5.5,,False,16,3,afternoon
2,2019-01-03 17:17:40,2019-01-03 17:19:48,1,0.71,1,N,170,233,2,4.0,1.0,0.5,0.0,0.0,0.3,0.0,5.8,2.1333333333333333,19.96875,5.633802816901409,,False,17,3,evening
2,2019-01-03 17:18:19,2019-01-03 17:33:35,2,2.14,1,N,186,142,2,11.0,1.0,0.5,0.0,0.0,0.3,0.0,12.8,15.266666666666667,8.410480349344978,5.14018691588785,,False,17,3,evening
2,2019-01-03 17:18:48,2019-01-03 17:26:39,1,1.15,1,N,263,140,1,7.0,1.0,0.5,2.2,0.0,0.3,0.0,11.0,7.85,8.789808917197451,6.086956521739131,0.31428571428571433,False,17,3,evening
1,2019-01-03 18:16:15,2019-01-03 18:37:51,1,2.0,1,N,237,186,1,14.5,1.0,0.5,0.0,0.0,0.3,0.0,16.3,21.6,5.5555555555555545,7.25,0.0,False,18,3,evening
2,2019-01-03 18:35:54,2019-01-03 18:47:49,1,1.37,1,N,170,113,2,9.0,1.0,0.5,0.0,0.0,0.3,0.0,10.8,11.916666666666666,6.897902097902099,6.56934306569343,,False,18,3,evening
1,2019-01-03 18:39:27,2019-01-03 18:47:40,1,1.1,1,N,43,143,1,7.5,1.0,0.5,2.3,0.0,0.3,0.0,11.6,8.216666666666667,8.032454361054766,6.8181818181818175,0.30666666666666664,False,18,3,evening
2,2019-01-03 19:57:53,2019-01-03 20:10:28,1,1.48,1,N,161,186,1,9.5,1.0,0.5,2.26,0.0,0.3,0.0,13.56,12.583333333333334,7.056953642384106,6.418918918918919,0.23789473684210524,False,19,3,evening
